排名,学校名称,国家,总分
174,亚利桑那大学,美国,-
175,巴塞罗那大学,西班牙,-
176,伯尔尼大学,瑞士,-
177,伯明翰大学,英国,-
178,加州大学-圣克鲁兹,美国,-
179,科隆大学,德国,-
180,电子科技大学,中国,-
181,埃克塞特大学,英国,-
182,佛罗里达大学,美国,-
183,哥廷根大学,德国,-
184,哥德堡大学,瑞典,-
185,利兹大学,英国,-
186,美因茨大学,德国,-
187,马萨诸塞大学医学院,美国,-
188,米兰大学,意大利,-
189,蒙彼利埃大学,法国,-
190,蒙特利尔大学,加拿大,-
191,明斯特大学,德国,-
192,帕多瓦大学,意大利,-
193,南安普敦大学,英国,-
194,图宾根大学,德国,-
195,犹他大学,美国,-
196,滑铁卢大学,加拿大,-
197,阿姆斯特丹自由大学,荷兰,-
198,瓦格宁根大学,荷兰,-
199,延世大学,韩国,-
200,郑州大学,中国,-
201,贝勒医学院,美国,-
202,北京化工大学,中国,-
203,北京工业大学,中国,-
204,首都医科大学,中国,-
205,卡迪夫大学,英国,-
206,鲁汶大学（法语）,比利时,-
207,中国地质大学（武汉）,中国,-
208,里昂第一大学,法国,-
209,科廷大学,澳大利亚,-
210,迪肯大学,澳大利亚,-
211,德累斯顿工业大学,德国,-
212,杜伦大学,英国,-
213,华东师范大学,中国,-
214,华东理工大学,中国,-
215,乔治梅森大学,美国,-
216,汉阳大学,韩国,-
217,杜塞尔多夫大学,德国,-
218,北海道大学,日本,-
219,华中农业大学,中国,-
220,巴黎理工学院 (IPP),法国,-
221,庆应义塾大学,日本,-
222,德国基尔大学,德国,-
223,阿卜杜拉国王科技大学,沙特阿拉伯,-
224,韩国科学技术院,韩国,-
225,高丽大学,韩国,-
226,皇家理工学院,瑞典,-
227,九州大学,日本,-
228,兰州大学,中国,-
229,伦敦大学卫生和热带医学学院,英国,-
230,麦考瑞大学,澳大利亚,-
231,维也纳医科大学,奥地利,-
232,南京农业大学,中国,-
233,南京医科大学,中国,-
234,南京航空航天大学,中国,-
235,南京理工大学,中国,-
236,墨西哥国立自治大学,墨西哥,-
237,台湾大学,中国台湾,-
238,纽卡斯尔大学（英国纽卡斯尔）,英国,-
239,北卡罗来纳州立大学-罗利,美国,-
240,东北大学（波士顿）,美国,-
241,东北大学（沈阳）,中国,-
242,西北农林科技大学,中国,-
243,俄勒冈健康与科学大学,美国,-
244,俄勒冈州立大学,美国,-
245,大阪大学,日本,-
246,伦敦玛丽女王大学,英国,-
247,女王大学,加拿大,-
248,波鸿鲁尔大学,德国,-
249,亚琛工业大学,德国,-
250,上海大学,中国,-
251,深圳大学,中国,-
252,南方医科大学,中国,-
253,斯威本科技大学,澳大利亚,-
254,柏林工业大学,德国,-
255,特拉维夫大学,以色列,-
256,德州农工大学,美国,-
257,香港科技大学,中国香港,-
258,奥克兰大学（新西兰）,新西兰,-
259,田纳西大学-诺克斯维尔,美国,-
260,德克萨斯大学卫生科学中心-休斯顿,美国,-
261,东北大学（仙台）,日本,-
262,都柏林三一学院,爱尔兰,-
263,塔夫茨大学,美国,-
264,阿伯丁大学,英国,-
265,卑尔根大学,挪威,-
266,博洛尼亚大学,意大利,-
267,波尔多大学,法国,-
268,布宜诺斯艾利斯大学,阿根廷,-
269,加州大学-河滨,美国,-
270,开普敦大学,南非,-
271,科罗拉多大学-丹佛,美国,-
272,康涅狄格大学,美国,-
273,特拉华大学,美国,-
274,埃尔朗根-纽伦堡大学,德国,-
275,汉堡大学,德国,-
276,休斯顿大学,美国,-
277,因斯布鲁克大学,奥地利,-
278,莱比锡大学,德国,-
279,里斯本大学,葡萄牙,-
280,洛林大学,法国,-
281,马萨诸塞大学-阿默斯特,美国,-
282,密苏里大学-哥伦比亚,美国,-
283,那不勒斯腓特烈二世大学,意大利,-
284,渥太华大学,加拿大,-
285,比萨大学,意大利,-
286,波尔图大学,葡萄牙,-
287,罗切斯特大学,美国,-
288,北京科技大学,中国,-
289,苏赛克斯大学,英国,-
290,悉尼科技大学,澳大利亚,-
291,金山大学,南非,-
292,筑波大学,日本,-
293,都灵大学,意大利,-
294,巴伦西亚大学,西班牙,-
295,弗吉尼亚大学,美国,-
296,维尔茨堡大学,德国,-
297,约克大学（约克）,英国,-
298,维也纳工业大学,奥地利,-
299,弗吉尼亚理工大学,美国,-
300,武汉理工大学,中国,-
301,奥尔堡大学,丹麦,-
302,阿尔伯特·爱因斯坦医学院,美国,-
303,安徽大学,中国,-
304,巴塞罗那自治大学,西班牙,-
305,马德里自治大学,西班牙,-
306,内盖夫本·古里安大学,以色列,-
307,布兰迪斯大学,美国,-
308,查尔姆斯理工大学,瑞典,-
309,查理大学,捷克,-
310,中国石油大学（华东）,中国,-
